"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ESRCUUS","198607","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198608","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198609","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198610","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198611","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198612","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198613","7.42","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198701","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198702","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198703","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198704","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198705","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198706","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198707","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198708","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198709","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198710","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198711","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198712","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198713","7.45","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198801","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198802","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198803","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198804","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198805","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198806","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198807","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198808","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198809","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198810","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198811","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198812","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198813","7.48","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198901","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198902","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198903","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198904","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198905","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198906","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198907","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198908","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198909","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198910","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198911","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198912","Not Available","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","198913","7.65","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199001","7.17","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199002","7.48","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199003","7.57","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199004","7.69","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199005","7.96","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199006","8.1","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199007","8.18","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199008","8.24","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199009","8.15","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199010","8.04","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199011","7.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199012","7.61","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199013","7.83","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199101","7.41","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199102","7.61","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199103","7.79","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199104","7.98","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199105","8.14","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199106","8.32","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199107","8.38","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199108","8.41","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199109","8.37","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199110","8.32","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199111","7.95","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199112","7.81","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199113","8.04","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199201","7.7","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199202","7.78","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199203","8.01","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199204","8.03","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199205","8.38","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199206","8.61","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199207","8.54","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199208","8.56","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199209","8.59","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199210","8.44","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199211","8.14","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199212","7.86","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199213","8.21","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199301","7.73","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199302","7.79","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199303","7.8","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199304","8.13","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199305","8.56","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199306","8.74","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199307","8.73","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199308","8.73","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
"ESRCUUS","199309","8.79","1","Average Retail Price of Electricity, Residential","Cents per Kilowatthour,  Including Taxes"
