MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOR7BUS,201604,8.779,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,4
SOR7BUS,201605,9.764,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,5
SOR7BUS,201606,10.146,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,6
SOR7BUS,201607,10.584,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,7
SOR7BUS,201608,10.274,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,8
SOR7BUS,201609,9.132,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,9
SOR7BUS,201610,8.165,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,10
SOR7BUS,201611,6.7,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,11
SOR7BUS,201612,6.024,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2016,12
SOR7BUS,201701,6.434,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,1
SOR7BUS,201702,7.226,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,2
SOR7BUS,201703,10.59,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,3
SOR7BUS,201704,11.851,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,4
SOR7BUS,201705,13.062,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,5
SOR7BUS,201706,13.551,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,6
SOR7BUS,201707,13.803,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,7
SOR7BUS,201708,13.348,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,8
SOR7BUS,201709,11.93,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,9
SOR7BUS,201710,10.668,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,10
SOR7BUS,201711,8.337,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,11
SOR7BUS,201712,7.723,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2017,12
SOR7BUS,201801,8.779,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2018,1
SOR7BUS,201802,9.308,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2018,2
SOR7BUS,201803,12.874,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2018,3
SOC7BUS,201201,1.634,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,1
SOC7BUS,201202,1.761,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,2
SOC7BUS,201203,2.426,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,3
SOC7BUS,201204,2.674,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,4
SOC7BUS,201205,2.952,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,5
SOC7BUS,201206,2.979,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,6
SOC7BUS,201207,3.127,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,7
SOC7BUS,201208,3.095,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,8
SOC7BUS,201209,2.823,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,9
SOC7BUS,201210,2.573,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,10
SOC7BUS,201211,2.11,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,11
SOC7BUS,201212,2.003,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2012,12
SOC7BUS,201301,2.08,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,1
SOC7BUS,201302,2.242,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,2
SOC7BUS,201303,3.089,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,3
SOC7BUS,201304,3.404,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,4
SOC7BUS,201305,3.758,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,5
SOC7BUS,201306,3.792,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,6
SOC7BUS,201307,3.981,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,7
SOC7BUS,201308,3.939,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,8
SOC7BUS,201309,3.593,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,9
SOC7BUS,201310,3.275,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,10
SOC7BUS,201311,2.686,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,11
SOC7BUS,201312,2.55,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2013,12
SOC7BUS,201401,2.849,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,1
SOC7BUS,201402,3.059,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,2
SOC7BUS,201403,4.107,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,3
SOC7BUS,201404,4.438,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,4
SOC7BUS,201405,4.873,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,5
SOC7BUS,201406,4.848,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,6
SOC7BUS,201407,5.029,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,7
SOC7BUS,201408,4.946,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,8
SOC7BUS,201409,4.456,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,9
SOC7BUS,201410,3.987,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,10
SOC7BUS,201411,3.218,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,11
SOC7BUS,201412,3.126,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2014,12
SOC7BUS,201501,3.049,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,1
SOC7BUS,201502,3.319,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,2
SOC7BUS,201503,4.46,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,3
SOC7BUS,201504,4.889,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,4
SOC7BUS,201505,5.346,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,5
SOC7BUS,201506,5.321,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,6
SOC7BUS,201507,5.554,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,7
SOC7BUS,201508,5.362,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,8
SOC7BUS,201509,4.803,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,9
SOC7BUS,201510,4.241,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,10
SOC7BUS,201511,3.421,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,11
SOC7BUS,201512,3.253,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2015,12
SOC7BUS,201601,3.199,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,1
SOC7BUS,201602,3.678,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,2
SOC7BUS,201603,4.796,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,3
