year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1994,2.2823823856765264,6.102,6.3389999999999995,6.047000000000001,5.781000000000001,5.478,5.269,4.97,4.322,4.103,3.398,3.6630000000000003,4.207,5.047,5.129,5.562,5.627000000000001,6.141,6.17,6.196000000000001,6.235,6.504
1994,2.286455711064162,6.405,5.781000000000001,6.102,5.269,6.047000000000001,4.322,5.478,4.103,3.398,3.6630000000000003,5.047,3.9930000000000003,5.562,4.207,6.141,5.129,6.196000000000001,5.627000000000001,6.504,6.17,6.437
1994,2.2844211223663744,6.3389999999999995,5.269,6.405,4.322,6.102,4.103,6.047000000000001,3.398,3.6630000000000003,5.047,5.562,3.346,6.141,3.9930000000000003,6.196000000000001,4.207,6.504,5.129,6.437,5.627000000000001,5.871
1994,2.25758772706331,5.781000000000001,4.322,6.3389999999999995,4.103,6.405,3.398,6.102,3.6630000000000003,5.047,5.562,6.141,3.6069999999999998,6.196000000000001,3.346,6.504,3.9930000000000003,6.437,4.207,5.871,5.129,5.351
1994,2.2289385528257473,5.269,4.103,5.781000000000001,3.398,6.3389999999999995,3.6630000000000003,6.405,5.047,5.562,6.141,6.196000000000001,4.97,6.504,3.6069999999999998,6.437,3.346,5.871,3.9930000000000003,5.351,4.207,4.388999999999999
1994,2.203869120054888,4.322,3.398,5.269,3.6630000000000003,5.781000000000001,5.047,6.3389999999999995,5.562,6.141,6.196000000000001,6.504,5.478,6.437,4.97,5.871,3.6069999999999998,5.351,3.346,4.388999999999999,3.9930000000000003,4.166
1995,2.180417459019838,4.103,3.6630000000000003,4.322,5.047,5.269,5.562,5.781000000000001,6.141,6.196000000000001,6.504,6.437,6.047000000000001,5.871,5.478,5.351,4.97,4.388999999999999,3.6069999999999998,4.166,3.346,3.429
1995,2.1983350716202463,3.398,5.047,4.103,5.562,4.322,6.141,5.269,6.196000000000001,6.504,6.437,5.871,6.102,5.351,6.047000000000001,4.388999999999999,5.478,4.166,4.97,3.429,3.6069999999999998,3.697
1995,2.2126603854660587,3.6630000000000003,5.562,3.398,6.141,4.103,6.196000000000001,4.322,6.504,6.437,5.871,5.351,6.405,4.388999999999999,6.102,4.166,6.047000000000001,3.429,5.478,3.697,4.97,5.093
1995,2.2417729535972883,5.047,6.141,3.6630000000000003,6.196000000000001,3.398,6.504,4.103,6.437,5.871,5.351,4.388999999999999,6.3389999999999995,4.166,6.405,3.429,6.102,3.697,6.047000000000001,5.093,5.478,5.614
1995,2.254444717666111,5.562,6.196000000000001,5.047,6.504,3.6630000000000003,6.437,3.398,5.871,5.351,4.388999999999999,4.166,5.781000000000001,3.429,6.3389999999999995,3.697,6.405,5.093,6.102,5.614,6.047000000000001,6.197
1995,2.2741856184723477,6.141,6.504,5.562,6.437,5.047,5.871,3.6630000000000003,5.351,4.388999999999999,4.166,3.429,5.269,3.697,5.781000000000001,5.093,6.3389999999999995,5.614,6.405,6.197,6.102,6.252999999999999
1995,2.2823823856765264,6.196000000000001,6.437,6.141,5.871,5.562,5.351,5.047,4.388999999999999,4.166,3.429,3.697,4.322,5.093,5.269,5.614,5.781000000000001,6.197,6.3389999999999995,6.252999999999999,6.405,6.564
1995,2.280339484046726,6.504,5.871,6.196000000000001,5.351,6.141,4.388999999999999,5.562,4.166,3.429,3.697,5.093,4.103,5.614,4.322,6.197,5.269,6.252999999999999,5.781000000000001,6.564,6.3389999999999995,6.496
1995,2.258633205464863,6.437,5.351,6.504,4.388999999999999,6.196000000000001,4.166,6.141,3.429,3.697,5.093,5.614,3.398,6.197,4.103,6.252999999999999,4.322,6.564,5.269,6.496,5.781000000000001,5.925
