Solar,AR,LR,MLP
0.082509523,-0.102109068,-0.102109068,-0.102109068
-0.174572708,-0.295999303,-0.295999303,-0.295999303
-0.411005763,-0.474168708,-0.474168708,-0.474168708
-0.847219589,-0.803499939,-0.803499939,-0.803499939
-0.948400547,-0.879685499,-0.879685499,-0.879685499
-1.350027004,-1.175156481,-1.175156481,-1.175156481
-1.233875393,-1.086877975,-1.086877975,-1.086877975
-0.626789644,-0.62613673,-0.62613673,-0.62613673
-0.400681176,-0.454416896,-0.454416896,-0.454416896
-0.147212551,-0.262139054,-0.262139054,-0.262139054
-0.12294977,-0.243596537,-0.243596537,-0.243596537
0.012302327,-0.140806495,-0.140806495,-0.140806495
-0.017122747,-0.163379994,-0.163379994,-0.163379994
-0.265429079,-0.351626855,-0.351626855,-0.351626855
-0.493602464,-0.524959081,-0.524959081,-0.524959081
-0.915361867,-0.845019054,-0.845019054,-0.845019054
-1.012929219,-0.919592221,-0.919592221,-0.919592221
-1.391325354,-1.190071114,-1.190071114,-1.190071114
-1.27827112,-1.103001903,-1.103001903,-1.103001903
-0.68822094,-0.648307131,-0.648307131,-0.648307131
-0.468307224,-0.479005886,-0.479005886,-0.479005886
-0.222065811,-0.288743535,-0.288743535,-0.288743535
-0.198319259,-0.270604116,-0.270604116,-0.270604116
-0.066680768,-0.169426468,-0.169426468,-0.169426468
-0.095589613,-0.191596869,-0.191596869,-0.191596869
-0.336668733,-0.37742514,-0.37742514,-0.37742514
-0.558647366,-0.548338777,-0.548338777,-0.548338777
-0.968533493,-0.864367767,-0.864367767,-0.864367767
-1.064035928,-0.93773164,-0.93773164,-0.93773164
-1.410425841,-1.211032221,-1.211032221,-1.211032221
-1.298920295,-1.125575402,-1.125575402,-1.125575402
-0.716613556,-0.679748791,-0.679748791,-0.679748791
-0.499797217,-0.513269234,-0.513269234,-0.513269234
-0.25613695,-0.327037864,-0.327037864,-0.327037864
-0.232906628,-0.309301544,-0.309301544,-0.309301544
-0.103333054,-0.209736288,-0.209736288,-0.209736288
-0.131725669,-0.231503591,-0.231503591,-0.231503591
-0.369707413,-0.414107076,-0.414107076,-0.414107076
-0.58858867,-0.581795928,-0.581795928,-0.581795928
-0.993312503,-0.891778445,-0.891778445,-0.891778445
-1.08726625,-0.963529925,-0.963529925,-0.963529925
-1.437269769,-1.160241847,-1.160241847,-1.160241847
-1.32782914,-1.070754047,-1.070754047,-1.070754047
-0.756879447,-0.603966329,-0.603966329,-0.603966329
-0.543676714,-0.429827906,-0.429827906,-0.429827906
-0.305178741,-0.234728376,-0.234728376,-0.234728376
-0.282464648,-0.216185859,-0.216185859,-0.216185859
-0.154955991,-0.112186523,-0.112186523,-0.112186523
-0.182832378,-0.134760022,-0.134760022,-0.134760022
-0.416684287,-0.32582857,-0.32582857,-0.32582857
-0.631435708,-0.501176288,-0.501176288,-0.501176288
-1.028416101,-0.82567034,-0.82567034,-0.82567034
-1.12030493,-0.901049704,-0.901049704,-0.901049704
-1.372224867,-1.104614295,-1.104614295,-1.104614295
-1.257621945,-1.010692414,-1.010692414,-1.010692414
-0.659828324,-0.521331198,-0.521331198,-0.521331198
-0.436817232,-0.33913081,-0.33913081,-0.33913081
-0.186962213,-0.134356924,-0.134356924,-0.134356924
-0.163215662,-0.11500821,-0.11500821,-0.11500821
-0.030028482,-0.005768598,-0.005768598,-0.005768598
-0.058937327,-0.029551392,-0.029551392,-0.029551392
-0.303630053,-0.229891198,-0.229891198,-0.229891198
-0.528189832,-0.413703978,-0.413703978,-0.413703978
-0.943754482,-0.75391886,-0.75391886,-0.75391886
-1.040289376,-0.832926108,-0.832926108,-0.832926108
-1.300985213,-1.030444226,-1.030444226,-1.030444226
-1.180703767,-0.931282069,-0.931282069,-0.931282069
-0.554001301,-0.411285389,-0.411285389,-0.411285389
-0.320665622,-0.217798252,-0.217798252,-0.217798252
-0.058421098,-0.000528321,-0.000528321,-0.000528321
-0.033642087,0.020029687,0.020029687,0.020029687
0.106256074,0.136121969,0.136121969,0.136121969
0.075798541,0.110726783,0.110726783,0.110726783
-0.18076746,-0.102109068,-0.102109068,-0.102109068
-0.416168057,-0.297208597,-0.297208597,-0.297208597
-0.851865653,-0.658384586,-0.658384586,-0.658384586
-0.953046611,-0.742229012,-0.742229012,-0.742229012
-1.205999007,-1.000211861,-1.000211861,-1.000211861
-1.07900658,-0.898631114,-0.898631114,-0.898631114
-0.413070681,-0.366541488,-0.366541488,-0.366541488
